Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Etiquetas,Etiquetas,Etiquetas,Etiquetas,Etiquetas,Etiquetas,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Enlace a la incidencia interna (Blocks),Enlace a la incidencia interna (Blocks),Enlace de incidencia saliente (Blocks),Enlace de incidencia saliente (Blocks),Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Estado de verificación),Campo personalizado (Fecha de inicio),Campo personalizado (Fuente del requisito),Campo personalizado (Prioridad MoSCoW),Sprint,Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerabilidad),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
"EPIC-01: Ingreso, Proveedores y Guías de Origen",CARNICORE-1,10011,Epic,Por hacer,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,04/ago/26 11:30 PM,05/ago/26 8:46 PM,05/ago/26 9:35 PM,,,0,CLS_ProveedorController,CP_TC01,CU_01,DOC_ERS,MOD_proveedores,STK_Propietaria,,,,,,,,,,,,,,,,,0|i0002f:,dark_blue,,,,,,,,,,Por hacer,04/ago/26 11:30 PM,,,
"	EPIC-02: Pesaje, Despiece e Inventario en Cámaras",CARNICORE-2,10012,Epic,Por hacer,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,04/ago/26 11:31 PM,05/ago/26 8:46 PM,05/ago/26 9:35 PM,,,0,CLS_GuiaOrigenService,CP_TC02,CU_02,DOC_ERS,MOD_guias,STK_Propietaria,,,,,,,,,,,,,,,,,0|i0002n:,blue,,,,,,,,,,Por hacer,04/ago/26 11:31 PM,,,
EPIC-03: Trazabilidad y Cumplimiento Regulatorio (Agrocalidad / LOPDP),CARNICORE-3,10013,Epic,Por hacer,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,04/ago/26 11:31 PM,05/ago/26 8:50 PM,05/ago/26 8:47 PM,,,0,CLS_IngresoController,CP_TC03,CU_03,DOC_ERS,MOD_ingresos,STK_Propietaria,,,,,,,,,,,,,,,,,0|i0002v:,orange,,,,,,,,,,Por hacer,04/ago/26 11:31 PM,,,
"	EPIC-04: Ventas, Devoluciones y Reportes Gerenciales",CARNICORE-4,10014,Epic,Por hacer,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,04/ago/26 11:32 PM,04/ago/26 11:32 PM,05/ago/26 8:50 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,dark_green,,,,,,,,,,Por hacer,04/ago/26 11:32 PM,,,
EPIC-05: Contingencia Offline y Seguridad,CARNICORE-5,10015,Epic,Por hacer,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,04/ago/26 11:32 PM,04/ago/26 11:32 PM,05/ago/26 7:53 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,dark_teal,,,,,,,,,,Por hacer,04/ago/26 11:32 PM,,,
RF-01: Registrar proveedor,CARNICORE-6,10016,Historia,En curso,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,05/ago/26 12:28 AM,05/ago/26 9:35 PM,05/ago/26 8:55 PM,,,0,CLS_ProveedorController,CP_TC01,CU_01,DOC_ERS,MOD_proveedores,STK_Propietaria,,,,,,,,,,,,,,,CARNICORE-8,,0|i0003j:,,No verificado,,"RF-01 - Propietaria - Bloque 1, Pregunta 3",Must Have,CARNICOR Sprint 1,,,,,En curso,05/ago/26 9:35 PM,10011,CARNICORE-1,"EPIC-01: Ingreso, Proveedores y Guías de Origen"
RF-02: Registrar guía de origen,CARNICORE-7,10017,Historia,En curso,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,05/ago/26 12:28 AM,05/ago/26 9:35 PM,05/ago/26 8:55 PM,,,0,CLS_GuiaOrigenService,CP_TC02,CU_02,MOD_guias,STK_Propietaria,,,,,,,,,,,,,,,,CARNICORE-8,,0|i0003r:,,No verificado,,"	RF-02 - Propietaria - Bloque 1, Pregunta 5",Must Have,CARNICOR Sprint 1,,,,,En curso,05/ago/26 9:35 PM,10011,CARNICORE-1,"EPIC-01: Ingreso, Proveedores y Guías de Origen"
RF-03: Registrar ingreso de lote/animal,CARNICORE-8,10018,Historia,En curso,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,05/ago/26 12:28 AM,05/ago/26 9:35 PM,05/ago/26 8:55 PM,,,0,CLS_IngresoController,CP_TC03,CU_03,DOC_ERS,MOD_ingresos,STK_Propietaria,,,,,,,,,,,,,CARNICORE-6,CARNICORE-7,CARNICORE-9,CARNICORE-15,0|i0003z:,,No verificado,,"	RF-03 - Propietaria - Bloque 2, Pregunta 8",Must Have,CARNICOR Sprint 1,,,,,En curso,05/ago/26 9:35 PM,10011,CARNICORE-1,"EPIC-01: Ingreso, Proveedores y Guías de Origen"
RF-04: Registrar pesaje,CARNICORE-9,10019,Historia,Por hacer,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,05/ago/26 12:29 AM,05/ago/26 8:55 PM,05/ago/26 8:55 PM,,,0,CLS_PesajeService,CP_TC04,CU_04,DOC_ERS,MOD_pesaje,STK_Bodega,,,,,,,,,,,,,CARNICORE-8,,CARNICORE-10,CARNICORE-11,0|i00047:,,No verificado,,"	RF-04 - Bodega - Bloque 3, Pregunta 12",Must Have,CARNICOR Sprint 1,,,,,Por hacer,05/ago/26 12:29 AM,10012,CARNICORE-2,"	EPIC-02: Pesaje, Despiece e Inventario en Cámaras"
RF-06: Registrar despiece,CARNICORE-10,10020,Historia,Por hacer,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,05/ago/26 12:29 AM,05/ago/26 8:56 PM,05/ago/26 8:56 PM,,,0,CLS_DespieceService,CP_TC05,CU_05,DOC_ERS,MOD_despiece,STK_Carnicero,,,,,,,,,,,,,CARNICORE-9,,,,0|i0004f:,,No verificado,,"	RF-06 - Carnicero - Bloque 3, Pregunta 15",Must Have,CARNICOR Sprint 1,,,,,Por hacer,05/ago/26 12:29 AM,10012,CARNICORE-2,"	EPIC-02: Pesaje, Despiece e Inventario en Cámaras"
RF-07: Ingresar a cámara frigorífica,CARNICORE-11,10021,Historia,Por hacer,CARNICORE,CarniCore,software,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,,Medium,,,,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,Edhu Xavier Gamarra Araujo,712020:457e8c06-53a2-4d88-bf67-4796f6d22ded,05/ago/26 12:29 AM,05/ago/26 8:56 PM,05/ago/26 8:56 PM,,,0,CLS_CamaraService,CP_TC06,CU_06,DOC_ERS,MOD_camaras,STK_Bodega,,,,,,,,,,,,,CARNICORE-9,,CARNICORE-12,,0|i0004n:,,No verificado,,"RF-07 - Bodega - Bloque 3, Pregunta 17",Must Have,CARNICOR Sprint 1,,,,,Por hacer,05/ago/26 12:29 AM,10012,CARNICORE-2,"	EPIC-02: Pesaje, Despiece e Inventario en Cámaras"
